Firm,NWP,SCR,SCR coverage ratio,GWP,Assets,Equity,Gross Claims Incurred,Net Combined ratio,NWP_Z,Assets_Z,Total_Z,State
4,24996.021042317076,19600.262144,1.4145072823874978,34922.70255395951,94065.0810325679,22827.370033718274,6.5679878205,-3.408469957460138,4.427720211480512,1.3050248632869126,5.732745074767425,Error
5,81.27365274329087,66.23081190197739,1.8994984377538788,83.66835263476736,235.48190172945183,130.5597897712254,373.786831698,1.0621016145039734,-0.3138175592939677,-0.33488441443102634,-0.648701973724994,Typical
6,3041.876078286715,3281.203179127093,1.3985576708799723,4452.508623652434,64743.03024410442,4927.07678268074,178.32319840752,0.8355252455491797,0.2496161374424144,0.7925479522146806,1.042164089657095,Outlier
10,7893.064120100977,2880.316428800464,1.4213029129420593,7923.371752294036,142144.98713535,5168.099949445841,106.3731701115,0.945358152225411,1.1728481081995261,2.1453426821855506,3.318190790385077,Error
14,11.852086591333888,8.858271526935347,2.7783868500968234,13.775815855376385,61.97620664000912,27.689665077318658,328.6349298493325,1.0878176101189676,-0.3270292115282412,-0.3379168647638612,-0.6649460762921025,Typical
19,1143.9600773609748,1316.6470553064921,1.3334444698132635,2167.815958573586,6542.8885249229215,1436.5930573483577,205.102150668,1.0178858521311247,-0.11157718567000569,-0.22464654988157648,-0.33622373555158214,Typical
22,25.6719273513472,98.55842910182677,1.2547909991398751,41.86338347828224,2414.408104164851,162.11431683607296,1364.606400783,0.9614528552719804,-0.3243991508687816,-0.2968021746267839,-0.6212013254955655,Typical
26,10489.248083067823,2369.903562113792,1.63244703579768,10489.248083067823,66455.36685673843,4014.9504818459245,313.61329485600004,1.050611926226436,1.6669291489504217,0.8224753602356716,2.4894045091860932,Error
34,8145.6173201777865,6443.117304809461,1.4247137273403903,20510.750552229027,185108.32863145974,9526.515250571007,7.693668060195001,1.6555311558594332,1.2209116313237973,2.896235609085822,4.117147240409619,Error
35,877.3158024155033,149.53521440269424,1.6695541984000555,877.6717944387071,5039.975691073472,308.6329722677002,61.9028330415,1.0729376331553568,-0.1623223881497149,-0.25091374832067787,-0.41323613647039276,Typical
37,1.2637424370210817,2.3517313412381697,1.9822458881497957,8.497193022464,13.23077494135982,4.837886246764544,662.673769801305,0.8489853071234478,-0.32904428448694373,-0.33876881432380246,-0.6678130988107462,Typical
39,10.24137063936,22.728727852048486,2.878054458127516,10.24137063936,70.04233186290033,67.88667778019891,3.258555303,5.77263878728817,-0.32733574766946133,-0.33777588884889637,-0.6651116365183577,Typical
40,471.0140083036467,361.03759830624995,1.5185424614485463,1184.4607566743346,2858.7103594946225,485.28141366876116,146.762332638,1.3231242255482167,-0.2396458814603874,-0.2890368703158244,-0.5286827517762118,Typical
41,6.20521837372416,1.9901002683657216,3.006703633093391,6.20521837372416,7.215380806313984,6.209776944319693,0.5425863993712501,0.2842955683201718,-0.32810386978271694,-0.33887394853243785,-0.6669778183151548,Typical
42,60.59326265420176,61.28667112091791,1.5793798526896614,231.47485722755604,662.0608858566771,69.80969563027055,153.365111044185,0.8505097933286816,-0.31775325445428876,-0.32742886905696733,-0.645182123511256,Typical
49,4.2847762478592,3.88095185168425,2.0915139808930148,4.2847762478592,35.8986376382976,8.423827146331032,-3.319956651,0.002905533961255985,-0.3284693500636925,-0.33837263615948027,-0.6668419862231727,Typical
52,9.64113018215424,5.591134459789312,1.7829409416654731,16.221790416128,33.15339895613276,7.5498334188448775,1952.489045079,1.2661054379630055,-0.3274499797246729,-0.3384206161404898,-0.6658705958651627,Typical
53,-8.05496,19.19943887413248,11.475948509849879,208.54866820096,8123.295924195329,228.658603648,5.9150290400609995,1.0372444979635922,-0.3308177313089747,-0.19702493814446426,-0.5278426694534389,Typical
59,3.138133054258176,43.452094336973204,1.6019266655995834,107.54788080910232,330.127893457475,72.23767579634574,57.204143942895,0.8440987197902087,-0.3286875682911161,-0.33323023663029655,-0.6619178049214127,Typical
63,95.24089648789545,102.70383371362509,1.5831817445758491,135.57509306101267,322.72238484738835,168.7438091887836,135.7119971239446,0.9777770717583771,-0.31115944630036096,-0.33335966660109895,-0.6445191129014599,Typical
72,408.4970630339493,179.38800967101787,2.409456924686895,499.74933800349106,1400.058788181691,448.5625353966377,0.9139775624295,49.51143350993151,-0.25154351191494134,-0.3145304913790284,-0.5660740032939697,Typical
73,5655.803588330065,3490.6826328317707,1.9558928635795447,7016.188730795412,89412.166322536,5280.29903335502,104.7007197555,1.1120660509130917,0.7470739613224043,1.2237034245075395,1.970777385829944,Outlier
74,222.2573762569507,253.15581933682452,1.9019179584661956,344.7580821726243,1052.420566279472,504.1013511560565,1468.9063124587951,1.0429667349181022,-0.28698687786453503,-0.3206063475125696,-0.6075932253771046,Typical
75,13.773200846909951,31.198530867108765,3.6829586347719445,16.40306783373896,179.14724563182313,119.24533683541576,2.82902574705,1.0905869692700092,-0.3266636033339314,-0.3358690048592848,-0.6625326081932161,Typical
80,1976.0824022484887,231.42200820039557,2.056118319868671,2079.515658516214,1329.3736787321857,493.81375228483586,60.832844132999995,0.9289935746883249,0.04678442127969722,-0.3157658922318138,-0.26898147095211655,Typical
81,0.085176730368,1.0123052327663615,3.674149333479885,0.12105136739328001,4.03608178910208,3.8599235730841603,646.6827941911199,0.9317552518159053,-0.3292685779034515,-0.3389295148143282,-0.6681980927177797,Typical
86,10.310429432709121,16.26668550023168,1.816892461547967,105.33559235151873,307.1902001067827,30.67176111241216,91.7635110075,0.9114766135088236,-0.32732260505669675,-0.333631130766941,-0.6609537358236377,Typical
87,342.6051720606175,98.60237322035199,1.6078175597080333,439.86608441041915,235.24140025687583,150.9203500294749,70.1771322555,0.868358124101512,-0.2640834299382945,-0.33488861780181584,-0.5989720477401104,Typical
89,290.24821054140415,166.6869794310484,3.0269572362421577,295.7719460699341,6450.659051071689,632.881799262889,111.714230805,1.2182942827406176,-0.27404750891226887,-0.22625849292778702,-0.5003060018400559,Typical
92,484.063322625024,59.522701473822714,1.9467853498089154,484.063322625024,127.16605453524991,91.34968976094208,6.828655463295,1.1271774607073475,-0.23716246006461553,-0.3367775074888999,-0.5739399675535154,Typical
97,8.88433287919616,22.202816451137636,1.4752216308952508,10.2829931802112,76.28114050217022,33.9919250376876,45.415561188000005,2.387685328738982,-0.32759400618982976,-0.33766684990740864,-0.6652608560972384,Typical
